1	например	например	ADV	_	Degree=Pos	_	_	_	@vsv1938m-words#@vsv1938m#434.016#434.533
2	ну	ну	PART	_	_	_	_	_	@vsv1938m-words#@vsv1938m#434.816#435.178
3	каждый	каждый	DET	_	Case=Nom|Gender=Masc|Number=Sing	_	_	_	@vsv1938m-words#@vsv1938m#435.178#435.54
4	балуется	баловаться	VERB	_	Aspect=Imp|Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin|Voice=Mid	_	_	_	@vsv1938m-words#@vsv1938m#435.54#435.902
5	в	в	ADP	_	_	_	_	_	@vsv1938m-words#@vsv1938m#435.902#436.264
6	юности	юность	NOUN	_	Animacy=Inan|Case=Loc|Gender=Fem|Number=Sing	_	_	_	@vsv1938m-words#@vsv1938m#436.264#436.626
7	стихами	стих	NOUN	_	Animacy=Inan|Case=Ins|Gender=Masc|Number=Plur	_	_	_	@vsv1938m-words#@vsv1938m#436.626#436.988
8	и	и	CCONJ	_	_	_	_	_	@vsv1938m-words#@vsv1938m#436.988#437.35
9	все	все	PRON	_	Animacy=Inan|Case=Nom|Gender=Neut|Number=Sing	_	_	_	@vsv1938m-words#@vsv1938m#437.35#437.716
10	потом	потом	ADV	_	Degree=Pos	_	_	_	@vsv1938m-words#@vsv1938m#438.016#438.374
11	Как-то	Как-то	PRON	_	Degree=Pos	_	_	_	@vsv1938m-words#@vsv1938m#438.374#438.732
12	это	это	PRON	_	Animacy=Inan|Case=Nom|Gender=Neut|Number=Sing	_	_	_	@vsv1938m-words#@vsv1938m#438.732#439.09
13	уходит	уходить	VERB	_	Aspect=Imp|Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin|Voice=Act	_	_	_	@vsv1938m-words#@vsv1938m#439.09#439.449
14	считают	считать	VERB	_	Aspect=Imp|Mood=Ind|Number=Plur|Person=3|Tense=Pres|VerbForm=Fin|Voice=Act	_	_	_	@vsv1938m-words#@vsv1938m#439.616#440.06
15	это	это	PRON	_	Animacy=Inan|Case=Acc|Gender=Neut|Number=Sing	_	_	_	@vsv1938m-words#@vsv1938m#440.06#440.504
16	баловством	баловство	NOUN	_	Animacy=Inan|Case=Ins|Gender=Neut|Number=Sing	_	_	_	@vsv1938m-words#@vsv1938m#440.504#440.949
17	я	я	PRON	_	Case=Nom|Number=Sing|Person=1	_	_	_	@vsv1938m-words#@vsv1938m#441.416#441.882
18	продолжил	продолжить	VERB	_	Aspect=Perf|Gender=Masc|Mood=Ind|Number=Sing|Tense=Past|VerbForm=Fin|Voice=Act	_	_	_	@vsv1938m-words#@vsv1938m#441.882#442.348
19	писать	писать	VERB	_	Aspect=Imp|VerbForm=Inf|Voice=Act	_	_	_	@vsv1938m-words#@vsv1938m#442.348#442.816
20	ну	ну	PART	_	_	_	_	_	@vsv1938m-words#@vsv1938m#443.016#443.216
21	во-первых	во-первых	ADV	_	Degree=Pos	_	_	_	@vsv1938m-words#@vsv1938m#443.616#443.928
22	потому	потому	ADV	_	Degree=Pos	_	_	_	@vsv1938m-words#@vsv1938m#443.928#444.24
23	что	что	CCONJ	_	_	_	_	_	@vsv1938m-words#@vsv1938m#444.24#444.552
24	я	я	PRON	_	Case=Nom|Number=Sing|Person=1	_	_	_	@vsv1938m-words#@vsv1938m#444.552#444.864
25	начал	начать	VERB	_	Aspect=Perf|Gender=Masc|Mood=Ind|Number=Sing|Tense=Past|VerbForm=Fin|Voice=Act	_	_	_	@vsv1938m-words#@vsv1938m#444.864#445.176
26	писать	писать	VERB	_	Aspect=Imp|VerbForm=Inf|Voice=Act	_	_	_	@vsv1938m-words#@vsv1938m#445.176#445.488
27	под	под	ADP	_	_	_	_	_	@vsv1938m-words#@vsv1938m#445.488#445.8
28	музыку	музыка	NOUN	_	Animacy=Inan|Case=Acc|Gender=Fem|Number=Sing	_	_	_	@vsv1938m-words#@vsv1938m#445.8#446.116
29	а	а	CCONJ	_	_	_	_	_	@vsv1938m-words#@vsv1938m#446.616#446.886
30	во-вторых	во-вторых	ADV	_	Degree=Pos	_	_	_	@vsv1938m-words#@vsv1938m#446.886#447.156
31	потому	потому	ADV	_	Degree=Pos	_	_	_	@vsv1938m-words#@vsv1938m#447.156#447.426
32	что	что	CCONJ	_	_	_	_	_	@vsv1938m-words#@vsv1938m#447.426#447.696
33	я	я	PRON	_	Case=Nom|Number=Sing|Person=1	_	_	_	@vsv1938m-words#@vsv1938m#447.696#447.966
34	еще	еще	ADV	_	Degree=Pos	_	_	_	@vsv1938m-words#@vsv1938m#447.966#448.236
35	попал	попасть	VERB	_	Aspect=Perf|Gender=Masc|Mood=Ind|Number=Sing|Tense=Past|VerbForm=Fin|Voice=Act	_	_	_	@vsv1938m-words#@vsv1938m#448.236#448.506
36	в	в	ADP	_	_	_	_	_	@vsv1938m-words#@vsv1938m#448.506#448.776
37	этот	этот	PRON	_	Case=Acc|Gender=Masc|Number=Sing	_	_	_	@vsv1938m-words#@vsv1938m#448.776#449.046
